      x1        x2         z
    0.1872         0         0
   -0.4071    1.2694    0.3412
   -0.6339    0.1830    0.2363
    0.6109   -1.0446   -0.3750
    0.9437    1.2694    0.1680
   -0.6339   -1.0446   -0.3791
    1.5867    0.8794    0.0625
         0    0.1830    0.3464
   -0.6339   -0.3841   -0.4435
   -1.0969    0.1830    0.0954
    0.4345   -1.4458   -0.2131
    0.1872   -0.6568   -0.7959
   -0.1989   -1.8447   -0.0661
    0.9437   -1.1440   -0.2070
   -1.4482   -1.1440   -0.0558
   -0.9249   -0.6568   -0.3504
   -0.6339   -0.6568   -0.5417
    0.9437    1.8143    0.0269
   -0.7881   -1.7458   -0.0478
   -0.7881    1.7047    0.0630
    1.3085   -1.0446   -0.1049
    0.8010    1.7047    0.0593
   -0.7881   -1.0446   -0.3324
         0   -1.8447   -0.0686
   -0.9249    1.8143    0.0293
         0   -1.4458   -0.2456
   -1.9066   -1.1440   -0.0129
    0.6109    0.5490    0.5500
    0.4345    1.2694    0.2877
    2.1163    0.5490    0.0093
    0.9437   -1.9764   -0.0156
    1.5867   -0.1999   -0.0278
   -1.4482   -0.1999   -0.0441
    0.9437         0         0
   -1.0969    0.3689    0.1971
    2.1163    1.8143    0.0008
   -0.1989   -1.1440   -0.4431
   -1.4482         0         0
   -1.9888    1.8143    0.0013
   -0.7881    1.8143    0.0403
    1.3614    1.2694    0.0624
    0.8010    0.1830    0.1724
   -0.9249    0.3689    0.2745
    0.8010   -1.8447   -0.0314
    0.8010    0.3689    0.3284
         0    1.7047    0.0977
    1.3085   -0.8098   -0.1396
   -0.7881    1.2694    0.1848
   -0.9249    1.7047    0.0495
         0   -1.7458   -0.0964
    0.8010   -1.0446   -0.2848
    2.1163   -0.3841   -0.0067
    0.8010   -0.6568   -0.4200
    0.6109   -0.8098   -0.5196
    1.3614    1.0199    0.0909
    1.9191   -1.8447   -0.0015
    0.6109    0.3689    0.4371
   -0.9249    1.5012    0.0895
   -0.4071    0.5490    0.6203
   -1.7202    1.0199    0.0339
    1.3614   -0.3841   -0.1078
    0.4345         0         0
   -1.0969   -0.6568   -0.2244
    0.6109    1.7047    0.0784
    0.1872   -1.4458   -0.2227
   -0.6339   -1.7458   -0.0588
   -1.4482    1.8143    0.0096
    0.8010    1.8143    0.0410
   -1.9066    1.5012    0.0060
   -0.9249   -1.9764   -0.0164
    0.9437   -0.1999   -0.1452
   -1.7202    1.8143    0.0038
         0    0.8794    0.6531
    0.9437   -0.3841   -0.2664
   -0.1989    1.8143    0.0717
    1.9191   -0.1999   -0.0105
   -0.1989    0.5490    0.7667
    0.6109    1.5012    0.1555
   -1.7202   -0.8098   -0.0378
   -0.4071    0.1830    0.2799
   -0.1989    1.2694    0.3555
   -1.9888    0.8794    0.0140
    0.9437    1.0199    0.2628
   -0.1989   -0.1999   -0.3744
    1.3085   -0.6568   -0.1299
   -1.0969   -1.4458   -0.0675
    0.4345   -0.1999   -0.2899
   -1.0969    1.8143    0.0234
    0.1872    0.3689    0.6195
    1.5867   -1.0446   -0.0446
    0.6109   -1.1440   -0.3076
   -1.4482    1.0199    0.0675
   -0.4071    1.0199    0.5002
   -1.9066   -1.7458   -0.0023
    1.5867   -0.8098   -0.0614
   -1.9066    0.8794    0.0175
   -1.9066    0.5490    0.0207
   -1.7202    1.9573    0.0019
   -0.4071   -1.9764   -0.0328
   -0.1989   -1.0446   -0.5265
    0.1872    1.8143    0.0715
   -0.7881   -0.6568   -0.4253
   -0.1989   -1.9764   -0.0338
    0.1872   -1.1440   -0.4405
    0.8010    0.8794    0.3579
   -1.9888   -1.0446   -0.0113
