      x1        x2         z
    1.7910   -0.6209    0.4310
   -1.8438    2.8922    0.0126
   -0.2894         0    0.2814
   -2.1895    1.6704    0.1543
   -2.3054   -1.6551    0.0002
    0.3224    1.2835    0.1669
   -1.6423   -0.3034    0.1281
   -0.5935   -2.6017    0.0056
    3.1648   -0.6209    0.0075
   -0.2894    1.3745    0.5346
   -2.8559   -1.6093    0.0000
   -2.3054   -3.1851    0.0000
   -1.6423    2.8922    0.0182
    1.4695    0.8697    0.0240
   -1.8438    1.6704    0.3054
    1.2987    2.7296    0.0003
    1.4695    2.5575    0.0002
   -0.8171   -3.1851    0.0003
   -0.2894    2.7296    0.0276
    2.4900    1.6704    0.0001
    2.4900    0.8697    0.0031
    0.8820    0.2898    0.1916
    1.2987   -0.3034    0.5115
   -2.8559    0.5506    0.0283
         0    1.3745    0.3246
   -0.2894   -2.2740    0.0399
    0.5823    0.2898    0.1891
   -2.3054   -0.3034    0.0340
         0   -1.6551    0.2423
   -1.2851   -1.6093    0.0052
    3.1648   -1.3099    0.0087
    1.4695   -1.6093    0.5244
   -0.5935    2.8922    0.0218
   -2.1895   -2.1646    0.0000
   -0.5935   -0.6209    0.1254
    2.2655   -1.3099    0.1892
   -0.2894    1.6704    0.4119
    0.3224   -1.6551    0.3935
   -1.6423   -0.6209    0.0503
    3.1648   -2.2740    0.0018
    0.8820    2.7296    0.0013
    2.4900    2.5575    0.0000
   -0.2894    2.8922    0.0178
   -3.0659   -3.1851    0.0000
   -2.8559   -0.3034    0.0057
    1.2987   -2.6017    0.0687
    1.7910   -2.6017    0.0432
    1.7910         0    0.1964
    0.8820   -0.6209    0.8084
    0.3224   -0.6209    0.5642
   -1.8438   -0.6209    0.0367
    0.8820         0    0.4104
    2.7864    2.0107    0.0000
   -2.3054   -1.3099    0.0009
   -1.8438    0.2898    0.3256
   -1.2851    2.8922    0.0260
    2.7864    0.8697    0.0013
   -2.3054    1.3745    0.1583
    1.4695    1.6704    0.0019
    0.3224   -3.1851    0.0052
    3.1648   -3.1851    0.0001
    0.8820   -2.2740    0.2058
   -2.1895    2.0107    0.0827
   -1.2851    0.8697    0.8528
   -0.8171    2.0107    0.3563
   -3.0659   -1.3099    0.0001      
   -1.2851   -2.2740    0.0011
    1.7910    0.5506    0.0496
    0.3224         0    0.2825
   -2.3054    0.5506    0.1631
   -2.1895    0.5506    0.2021
    0.5823    2.0107    0.0281
    1.2987   -1.6093    0.5710
    1.2987    0.5506    0.0800
    0.5823   -2.1646    0.2364
         0    1.6704    0.2574
   -1.6423   -1.6551    0.0012
    0.5823   -0.9657    0.9146
   -3.0659    0.8697    0.0141
    1.4695   -1.3099    0.7852
   -0.2894    0.8697    0.6166
    0.8820    2.5575    0.0027
   -0.8171    0.8697    0.9025
   -1.6423   -0.9657    0.0137
   -0.5935   -2.1646    0.0205
   -0.2894   -0.6209    0.2043
    0.3224   -2.6017    0.0444
    1.4695   -1.6551    0.5155
   -2.8559    2.8922    0.0009
   -3.0659    1.6704    0.0094
         0    2.5575    0.0349
         0         0    0.2493
   -0.5935    0.5506    0.6949
    2.2655    1.2835    0.0012
    2.2655   -1.6551    0.1246
    1.4695    2.8922    0.0001
    0.5823   -1.3099    0.7553
    1.7910   -1.3099    0.5040
    2.2655   -1.6093    0.1465
   -0.5935         0    0.3320
    0.3224   -1.3099    0.5341
   -2.1895   -2.2740    0.0000
   -3.0659   -2.1646    0.0000
   -0.8171   -2.1646    0.0087
    1.4695    2.0107    0.0009
   -0.8171    2.5575    0.0886
    1.4695    1.3745    0.0046
    0.5823    2.5575    0.0072
   -1.2851    2.0107    0.3599
    3.1648    2.0107    0.0000
    0.3224    1.6704    0.1120
   -2.3054   -1.6093    0.0002
    1.2987   -0.6209    0.8350
    1.2987   -1.6551    0.6308
         0    0.5506    0.3656
   -2.1895   -1.3099    0.0011
   -0.8171   -1.6093    0.0238
   -3.0659    2.0107    0.0053
   -1.2851    0.5506    0.7407
   -1.6423   -2.6017    0.0001
    1.2987         0    0.3634
    2.7864   -2.6017    0.0033
    2.7864   -1.3099    0.0364
   -2.3054    2.8922    0.0051
   -0.5935   -1.3099    0.0708
   -1.6423   -1.6093    0.0013
    2.7864   -0.9657    0.0385
   -2.1895   -0.9657    0.0049
   -2.1895    1.2835    0.2340
   -2.3054    0.2898    0.1115
   -1.2851    1.2835    0.7997
    2.7864    1.6704    0.0000
   -0.5935   -3.1851    0.0006
   -0.2894    1.2835    0.5405
   -2.3054    2.7296    0.0087
    3.1648    1.2835    0.0001
   -0.5935   -2.2740    0.0150
    2.2655    2.0107    0.0000
    2.4900   -2.6017    0.0075
   -3.0659   -2.6017    0.0000
   -2.1895   -2.6017    0.0000
   -1.8438    1.2835    0.4576
    2.2655    1.6704    0.0002
    1.7910   -1.6093    0.3386
   -0.2894   -1.3099    0.1799
    0.8820   -3.1851    0.0079
   -0.8171    0.5506    0.8534
    0.3224    0.2898    0.2326
    1.4695   -2.1646    0.2141
   -1.8438    0.8697    0.4370
    1.4695         0    0.2723
   -2.8559   -2.6017    0.0000
   -2.8559   -3.1851    0.0000
   -0.8171   -2.6017    0.0026
    2.2655   -2.1646    0.0539
   -3.0659    2.7296    0.0007
   -1.2851   -0.6209    0.0722
   -0.8171    1.3745    0.7699
   -1.8438         0    0.1799
    3.1648    0.8697    0.0003
   -0.5935    2.5575    0.0776
    1.4695    2.7296    0.0001
   -1.6423    1.6704    0.3973
    1.4695   -0.9657    0.8739
   -2.8559    1.3745    0.0250
    1.7910    1.3745    0.0023
   -2.8559    2.7296    0.0015
    0.8820    1.2835    0.0323
    2.4900    1.2835    0.0006
    1.2987   -1.3099    0.9139
    2.2655    0.2898    0.0351
    2.7864    0.2898    0.0073
    3.1648    0.5506    0.0009
    0.5823    0.5506    0.1467
    3.1648   -2.6017    0.0007
   -2.8559   -2.2740    0.0000
   -2.8559   -0.9657    0.0007
   -1.8438   -2.1646    0.0001
   -2.8559    0.8697    0.0323
   -0.2894   -1.6551    0.1222
   -1.6423   -3.1851    0.0000
   -0.2894    0.5506    0.5270
   -0.2894   -1.6093    0.1316
   -0.5935   -1.6093    0.0501
    0.3224   -2.1646    0.1642
    3.1648    1.3745    0.0000
   -2.3054    2.0107    0.0680
    1.7910   -0.9657    0.5675
    2.4900         0    0.0429
         0    0.2898    0.2857
    1.7910    0.2898    0.1057
    2.7864   -1.6093    0.0266
    0.5823    2.8922    0.0022
   -0.8171   -1.3099    0.0401
         0   -1.6093    0.2295
    0.8820   -0.3034    0.5896
   -0.5935   -0.3034    0.2035
    2.2655   -2.2740    0.0436
    3.1648   -1.6093    0.0067
   -0.8171         0    0.3416
   -0.2894    2.5575    0.0512
    2.4900   -2.1646    0.0276
    1.2987    0.2898    0.1849
   -2.1895         0    0.0919
   -2.1895    0.2898    0.1394
    0.5823   -1.6551    0.5259
   -1.8438   -0.3034    0.0854
    0.3224    0.8697    0.1808
    2.4900   -1.6093    0.0765
   -1.2851   -2.6017    0.0005
   -1.8438   -2.6017    0.0000
    0.5823   -3.1851    0.0066
    0.8820   -2.1646    0.2315
    0.5823    1.2835    0.0737
    3.1648    2.8922    0.0000
    1.2987    2.5575    0.0004
    1.2987   -2.1646    0.2486
    1.7910    2.0107    0.0002
    2.4900    0.2898    0.0222
         0   -2.6017    0.0277
   -0.8171   -0.9657    0.0562
    0.3224    2.8922    0.0049
   -1.8438   -0.9657    0.0113
    2.7864    1.3745    0.0002
         0    0.8697    0.3736
   -2.3054    1.6704    0.1211
   -0.5935   -0.9657    0.1053
         0   -0.9657    0.3822
         0    2.8922    0.0094
   -0.8171   -2.2740    0.0074
    3.1648   -0.3034    0.0055
         0   -3.1851    0.0033
   -0.8171    1.2835    0.8954
   -2.1895    2.7296    0.0125
    3.1648    0.2898    0.0019
   -0.8171   -0.3034    0.1824
   -1.6423    0.2898    0.4174
    2.4900    2.8922    0.0000
   -1.8438   -1.6093    0.0007
    0.8820    0.8697    0.0624
    1.2987    1.3745    0.0069
    0.3224    2.7296    0.0086
    2.7864         0    0.0153
    1.2987    1.6704    0.0041
   -2.8559    2.0107    0.0108
   -3.0659   -2.2740    0.0000
    1.4695   -2.6017    0.0569
    0.3224   -0.9657    0.5920
         0   -0.3034    0.3100
    1.7910    2.8922    0.0000
    2.2655    2.7296    0.0000
   -1.6423    0.8697    0.5901
    0.8820   -1.3099    0.8933
    2.4900   -0.3034    0.0607
   -0.8171    2.8922    0.0284
    1.7910    1.6704    0.0007
    2.4900   -0.9657    0.1189
   -2.3054   -2.1646    0.0000
    1.7910   -0.3034    0.3171
    1.7910   -2.1646    0.1502
   -3.0659    1.2835    0.0136
