      x1        x2         z
   -0.9408   -2.1466   -3.4281
   -1.1726    2.2143   -4.5494
   -2.3892   -1.9102   -2.4029
    1.6452    2.4517    6.5133
    1.1353   -2.1466    4.0935
   -0.9408   -1.2284   -1.2128
    0.5747    2.4517    3.1688
    1.6226   -2.7465    7.2025
   -0.3282   -0.8750   -0.2542
    2.1812   -0.8750    0.6768
   -2.3892   -2.7465   -5.0211
    1.6452   -2.1466    4.8816
   -1.4461   -1.3602   -1.9050
   -2.3892    1.4692   -1.5914
   -1.6408    1.6268   -2.5097
         0   -0.5569         0
   -1.4461    0.9702   -0.9831
    2.7766   -2.7368    2.9135
    2.3420   -2.7465    5.7740
   -1.1726   -2.5897   -6.6830
   -0.3282    2.4517   -1.8496
    0.8779   -2.7465    5.3277
   -1.1726   -0.8750   -0.7091
    1.1353   -1.3602    1.8439
    2.3420   -2.7368    5.3594
   -0.3282   -2.7465   -2.3637
    0.5747   -0.5569    0.1601
   -3.0367    1.2240   -0.1511
   -2.4378    1.6268   -1.6720
    1.6226    1.2240    1.5603
    2.1812    2.2143    4.2744
   -0.3282    0.9702   -0.3105
   -1.1726    2.4517   -5.7569
   -2.2403   -1.2284   -1.0797
    0.5747   -0.8750    0.4080
   -1.6408    1.4692   -2.1700
   -0.9408    1.6268   -1.9459
    1.6226   -1.9102    3.3726
    0.3211    3.1405    3.3881
         0    2.2143         0
    0.8779   -2.7368    5.5063
    2.7766   -2.5897    2.1998
    2.3420   -0.5569    0.2094
    2.1812    1.4692    1.7040
   -0.9408    1.2240   -1.1126
   -1.1726   -2.1466   -4.0544
    0.3211    1.2240    0.4377
    0.8779    0.2941    0.0687
    0.3211   -0.2777    0.0240
    2.7766         0         0
    0.8779    2.4517    4.9408
   -1.1726   -0.5569   -0.2708
   -3.0367   -1.2284   -0.1490
    2.1812   -1.9102    2.9182
   -1.1726    0.2941   -0.0779
    0.8779    3.1405    7.3711
    1.6226    3.1405   10.7264
   -0.3282    1.2240   -0.4740
   -2.2403    0.2941   -0.0640
   -1.4461   -1.2284   -1.4211
   -0.6561    2.4935   -4.0980
   -1.6408   -0.2777   -0.0837
    2.1812   -2.7368    6.6996
    0.5747   -2.1466    2.6036
    0.3211         0         0
   -2.3892    2.4935   -4.6406
   -1.6408    0.6568   -0.4081
   -2.4378    0.2941   -0.0550
   -2.4378    3.1405   -5.8940
   -1.4461    0.2941   -0.0912
    0.5747   -2.7368    3.8784
    0.8779    0.6568    0.3441
    2.7766   -0.5569    0.1044
   -2.2403    2.2143   -4.2234
         0    1.2240         0
