      x1        x2         z
    1.1378   -0.5885    0.7560
    2.2370    0.5511    0.0178
    2.8666    1.7445    0.0000
   -0.5923   -0.2792    0.2295
    0.9481         0    0.4035
    2.2370    2.0433    0.0000
    2.2370    1.2464    0.0013
         0   -0.2792    0.2828
    2.6259    2.0433    0.0000
    1.3606   -1.3962    0.7298
   -0.2701    0.5511    0.4523
   -2.7638   -2.2171    0.0000
    0.2933   -2.2171    0.1313
   -0.9412    2.0433    0.3161
   -2.4850   -1.3962    0.0004
    2.6259    1.4013    0.0002
   -2.4850   -0.2792    0.0225
    0.9481   -1.7931    0.5355
   -1.8860   -1.3962    0.0016
   -0.9412    0.3226    0.6629
   -2.9369   -0.8842    0.0007
    1.1378   -2.7761    0.0426
   -0.5923   -2.7761    0.0034
   -2.9369   -1.3962    0.0001
    2.2370   -2.2171    0.0463
   -1.8860   -3.0484    0.0000
    0.2933    2.0433    0.0612
    0.9481   -0.2792    0.6094
    2.2370   -0.5885    0.1855
    1.9628   -2.2171    0.0830
   -1.3664    1.2464    0.8633
   -1.8860    2.9243    0.0118
    1.3606    2.0433    0.0013
   -1.8973         0    0.1756
   -1.8860    2.3240    0.0786
   -1.8860    1.4013    0.3694
    0.9481    0.3226    0.1732
    2.1128   -0.8842    0.2741
    0.9481   -3.0484    0.0162
   -0.9412   -0.8842    0.0508
   -1.8973    2.0433    0.1599
    0.6269   -2.7761    0.0404
    2.6259    1.2464    0.0005
    1.1378         0    0.3435
   -1.8973    0.5511    0.3848
    2.6259   -1.3962    0.0601
   -0.9412    2.8027    0.0369
    1.1378   -2.2171    0.2205
    0.2933   -0.8842    0.6203
    0.2933   -2.7761    0.0244
    0.6269   -1.3962    0.7217
   -2.4850   -1.3024    0.0006
    2.6259   -1.3024    0.0704
    2.1128    2.8027    0.0000
    1.1378    0.3226    0.1699
    1.1378    0.8699    0.0427
   -2.7638   -0.5885    0.0037
    2.2370    1.4013    0.0008
    2.6259    0.5511    0.0061
    2.1128   -2.2171    0.0636
    2.8666    1.2464    0.0002
    2.8666   -1.3962    0.0271
    2.2370    2.9243    0.0000
    0.2933    1.4013    0.1722
   -1.8860    1.2464    0.4655
    1.1378   -0.2792    0.5299
   -2.4850    0.5511    0.0841
    1.9628   -1.3024    0.3447
    2.8666   -1.9031    0.0135
   -2.7638   -2.7761    0.0000
    1.9628    2.8027    0.0000
    1.3606   -2.7761    0.0388
   -1.8973    1.7445    0.2776
   -0.5923   -1.7931    0.0402
   -0.2701    0.3226    0.3998
         0   -2.7761    0.0155
    0.6269    2.9243    0.0019
   -0.5923    0.3226    0.5192
    0.6269    2.8027    0.0026
    2.6259         0    0.0241
         0    0.5511    0.3066
    1.3606    2.8027    0.0002
    1.3606    0.3226    0.1628
    2.8666   -2.2171    0.0065
    1.3606         0    0.3376
    2.2370   -2.7761    0.0085
