      x1        x2         z
   -0.4071    1.5012    0.1896
   -1.9066   -0.3841   -0.0156
    1.3614    1.9573    0.0061
    1.3085   -0.3841   -0.1096
   -1.7202   -0.3841   -0.0326
   -0.4071   -1.0446   -0.4584
   -1.9066    1.5012    0.0060
    1.9191   -0.8098   -0.0181
    1.5867    0.1830    0.0306
   -0.1989   -1.9764   -0.0338
    1.5867   -1.8447   -0.0052
   -0.7881   -0.6568   -0.4253
   -0.9249    0.5490    0.3118
    2.1163   -1.4458   -0.0030
   -0.7881   -0.8098   -0.3898
    0.4345    0.8794    0.6211
    0.9437    1.8143    0.0269
   -0.9249   -1.0446   -0.2349
    1.9191   -0.3841   -0.0175
   -0.1989    1.8143    0.0717
    2.1163    0.8794    0.0089
    0.6109    0.5490    0.5500
    0.4345    1.2694    0.2877
   -0.6339    1.2694    0.2344
   -1.0969   -1.0446   -0.1678
   -1.7202   -1.8447   -0.0035
   -0.9249   -0.1999   -0.1523
   -0.6339    1.0199    0.4373
   -1.0969   -1.7458   -0.0262
         0    1.5012    0.2108
    0.9437   -1.0446   -0.2527
   -1.9066    0.8794    0.0175
    2.1163   -1.8447   -0.0007
    0.8010   -1.8447   -0.0314
   -1.7202   -1.4458   -0.0130
    0.4345    1.8143    0.0598
   -1.9066   -0.1999   -0.0097
   -1.7202    1.7047    0.0054
    1.3614   -1.9764   -0.0060
   -1.9888    0.5490    0.0160
    0.6109    0.1830    0.2593
    1.9191   -1.4458   -0.0063
   -1.7202         0         0
    1.5867    1.0199    0.0474
   -0.4071   -0.8098   -0.6700
   -1.7202    0.8794    0.0355
   -1.4482    1.0199    0.0675
   -0.1989   -0.8098   -0.6955
   -0.9249   -1.9764   -0.0164
   -1.0969    0.8794    0.2215
   -1.7202   -0.6568   -0.0452
    0.8010    0.1830    0.1724
   -0.6339    0.1830    0.2363
    0.4345   -0.1999   -0.2899
    0.6109   -1.9764   -0.0242
    1.3614    0.3689    0.0922
   -1.9066    1.0199    0.0149
   -1.7202    0.5490    0.0411
   -1.9066    0.3689    0.0179
    1.3085   -0.6568   -0.1299
    0.1872   -1.4458   -0.2227
   -1.0969   -0.3841   -0.1748
   -1.9066    0.5490    0.0207
   -0.4071   -0.3841   -0.5991
         0    1.9573    0.0396
    1.3085    0.8794    0.1308
   -1.4482   -0.3841   -0.0755
    1.3085   -1.1440   -0.0927
   -0.4071    0.1830    0.2799
   -0.9249    1.2694    0.1516
    0.9437    0.5490    0.3350
   -0.1989   -1.7458   -0.0931
   -0.7881    0.8794    0.3670
   -0.7881    1.5012    0.1222
   -1.0969    1.7047    0.0315
   -1.7202   -1.1440   -0.0252
    0.6109    1.8143    0.0491
   -1.7202   -0.1999   -0.0216
         0    0.8794    0.6531
    1.3085    1.2694    0.0698
   -1.4482    1.2694    0.0501
    1.5867   -0.8098   -0.0614
    0.6109   -1.1440   -0.3076
   -0.6339   -0.6568   -0.5417
    0.1872   -1.8447   -0.0619
   -0.1989   -0.3841   -0.6051
    2.1163    1.7047    0.0013
    1.5867   -1.7458   -0.0074
   -0.9249   -0.8098   -0.3279
